hour	h.choice income	age	edu	n1	n2	n3	race	home	lur
456	2	 242	30	14	1	2	0	0	1	9
1320	4	 401	33	16	0	1	0	0	1	10
1882	5	 250	28	12	1	0	0	0	0	5
263	2	 254	40	12	1	3	0	0	0	5
2683	6	 333	31	16	0	0	0	0	0	5
1966	5	 418	61	12	0	0	0	0	1	5
109	2	 161	24	14	1	0	0	0	0	5
1920	5	 42	28	13	0	0	0	0	0	5
0	1	 265	26	13	1	0	0	0	0	6
856	3	 172	52	16	0	0	0	0	1	5
2040	5	 71	27	16	0	0	0	0	0	5
2088	5	 1000	33	12	1	0	0	0	1	3
2066	5	 188	20	12	0	0	0	0	1	4
1560	4	 178	28	12	0	3	0	0	0	4
0	1	 4553	45	14	0	0	1	0	1	3
1730	4	 1087	49	12	0	0	0	0	1	3
1408	4	 211	35	10	0	0	1	1	1	6
1912	5	 290	39	12	0	1	2	0	1	6
2100	5	 136	43	12	0	0	0	0	1	5
2003	5	 400	21	12	0	0	0	0	0	3
780	3	 324	23	14	0	0	0	0	1	10
2000	5	 360	43	12	0	0	0	0	1	5
250	2	 2221	43	16	0	1	2	0	1	5
816	3	 700	37	16	0	3	0	0	1	4
1387	4	 423	40	16	0	1	1	0	1	5
0	1	 713	31	17	2	0	0	0	1	3
0	1	 470	28	13	1	0	0	0	1	3
0	1	 186	62	12	0	0	0	0	1	2
1696	4	 181	21	12	1	0	0	0	0	6
2568	6	 293	40	12	0	0	2	0	1	9
1503	4	 111	21	12	1	0	0	0	0	7
1984	5	 40	50	12	0	1	0	0	0	7
256	2	 695	33	16	2	0	0	0	1	7
164	2	 1608	39	17	0	2	0	0	1	4
0	1	 272	64	16	0	0	0	0	1	4
0	1	 327	24	9	3	0	0	0	0	5
2400	6	 446	43	12	0	0	0	0	1	5
1908	5	 63	21	12	0	0	0	0	0	5
2625	6	 -73	41	15	0	0	1	0	1	7
2706	6	 522	28	12	0	0	0	1	0	4
2071	5	 178	21	13	0	0	0	0	1	11
0	1	 150	26	12	1	1	0	0	1	7
1544	4	 41	44	12	0	1	0	0	1	7
1491	4	 177	30	16	0	0	0	0	1	3
0	1	 698	54	13	0	0	0	0	1	5
1744	4	 370	41	16	0	2	0	0	1	4
2000	5	 379	41	10	0	0	0	0	1	3
1214	3	 140	21	16	1	0	0	0	1	2
1575	4	 252	43	12	0	1	0	0	1	3
1810	5	 123	24	14	0	0	0	0	1	3
694	2	 357	47	9	0	1	0	0	1	3
2070	5	 125	22	12	0	0	0	0	1	3
576	2	 192	43	16	0	2	1	0	1	6
1276	4	 654	42	17	0	1	1	0	1	5
1219	3	 190	38	13	0	1	2	0	1	3
1150	3	 208	43	12	0	1	1	0	1	5
1920	5	 423	56	12	0	0	0	0	1	5
0	1	 480	27	12	1	0	0	0	1	5
1285	4	 302	33	16	2	0	0	0	1	5
694	2	 574	31	16	2	0	0	0	1	5
911	3	 704	58	15	0	0	0	0	1	5
1784	5	 870	36	14	0	0	0	0	1	5
1664	4	 226	32	12	0	0	0	0	1	6
1317	4	 681	59	16	0	0	0	0	1	5
120	2	 832	35	14	0	3	0	0	1	3
791	3	 100	29	12	1	0	0	0	0	3
1960	5	 415	57	8	0	0	0	0	1	5
1100	3	 216	45	13	0	0	1	0	1	5
1653	4	 231	29	12	0	0	0	0	1	5
0	1	 158	57	8	0	0	0	0	0	5
1880	5	 260	24	10	2	1	0	0	0	2
0	1	 290	22	10	1	0	0	0	0	4
0	1	 309	23	11	2	0	0	0	1	8
0	1	 311	49	14	0	0	0	0	1	5
2241	5	 99	26	16	0	0	0	0	0	5
1747	4	 268	36	12	0	1	1	0	1	3
2000	5	 192	39	13	0	0	1	1	0	6
2040	5	 430	34	10	0	1	1	0	1	4
1266	4	 407	41	14	1	0	1	0	1	2
0	1	 177	19	14	1	0	0	0	0	4
848	3	 129	39	11	0	1	1	0	0	9
2700	6	 200	27	15	0	0	0	0	1	9
0	1	 606	32	17	3	1	0	0	1	6
2217	5	 160	23	14	0	0	0	0	0	9
1456	4	 766	46	15	0	0	0	0	1	4
0	1	 70	47	8	0	0	0	0	1	8
1968	5	 2	28	10	2	1	0	0	0	7
88	2	 48	59	7	0	0	1	0	0	9
2250	5	 264	20	12	0	0	0	0	0	8
1280	4	 585	46	14	0	0	0	1	1	7
1960	5	 407	26	13	0	1	0	0	1	7
1566	4	 437	39	17	1	2	0	0	1	7
1494	4	 310	38	16	0	2	1	0	1	5
0	1	 530	54	15	0	0	0	0	1	8
1470	4	 320	28	13	0	0	0	0	0	7
1034	3	 413	35	16	2	0	0	0	1	3
0	1	 495	61	12	0	0	0	1	1	3
1666	4	 162	39	16	0	2	1	0	1	11
1768	5	 254	40	17	0	2	0	1	1	5
0	1	 220	21	11	2	0	1	0	1	8
1955	5	 284	49	12	0	0	0	0	1	5
2107	5	 355	30	15	0	1	0	0	0	6
1912	5	 370	36	14	1	1	0	1	1	5
1750	4	 215	22	12	0	0	0	0	1	7
0	1	 657	37	16	1	2	0	0	1	3
0	1	 280	31	15	2	0	0	0	0	3
1610	4	 383	55	12	0	0	0	0	1	3
650	2	 200	29	12	0	2	0	0	0	3
1112	3	 187	28	12	1	2	0	0	1	3
1384	4	 340	30	15	2	0	0	0	1	3
1184	3	 657	55	12	0	0	0	0	1	7
94	2	 353	30	12	0	2	0	0	1	7
2048	5	 291	41	16	0	1	0	0	1	4
0	1	 527	60	12	0	0	0	0	1	5
1960	5	 56	33	12	1	0	0	0	1	5
0	1	 315	30	12	0	2	0	0	1	5
0	1	 1063	50	16	0	0	1	0	1	2
1992	5	 366	52	12	0	0	1	0	1	2
1576	4	 48	24	13	0	0	0	0	0	4
2040	5	 250	31	14	0	0	0	0	0	3
2024	5	 113	19	12	0	0	0	0	0	4
1501	4	 321	39	17	0	2	0	0	1	3
708	2	 342	37	12	0	1	2	0	1	4
1800	5	 300	36	12	0	2	1	0	1	4
1832	5	 461	39	12	0	0	0	0	1	4
2430	6	 397	48	13	0	0	0	0	1	3
0	1	 320	30	12	3	0	0	0	1	5
2205	5	 437	37	12	0	1	1	0	0	5
0	1	 322	30	16	1	0	0	0	1	5
312	2	 570	52	12	0	1	0	0	1	5
1000	3	 575	44	13	0	0	0	0	1	3
1408	4	 410	41	12	0	0	0	0	1	4
2160	5	 380	37	12	0	0	0	0	1	6
0	1	 218	54	9	0	0	0	0	0	6
1911	5	 140	28	10	0	2	0	0	1	6
832	3	 69	32	11	0	1	1	0	1	6
2103	5	 277	35	13	0	2	0	0	1	6
1912	5	 348	34	14	0	1	1	0	1	6
0	1	 232	49	11	0	0	0	0	0	6
1556	4	 185	37	14	0	2	1	0	1	6
0	1	 106	38	12	2	0	0	0	1	2
0	1	 270	24	12	1	0	0	0	1	2
0	1	 91	25	12	1	0	0	0	0	7
3060	6	 162	27	13	0	0	0	0	0	3
2144	5	 290	27	11	1	1	1	0	1	3
1444	4	 108	26	12	1	0	0	0	1	12
1912	5	 338	39	12	0	3	2	0	1	9
1152	3	 320	54	8	2	2	1	1	1	1
363	2	 60	19	11	1	0	0	1	0	1
1831	5 	 217	38	12	0	2	0	0	0	11
820	3	 113	18	12	0	0	0	0	0	9
1928	5	 415	38	12	0	1	1	0	1	9
2450	6	 400	26	10	1	1	0	1	1	9
416	2	 459	45	16	1	1	0	0	1	9
600	2	 210	24	9	2	0	0	0	0	9
2352	6	 129	55	12	0	0	0	0	1	4
1430	4	 154	24	17	0	0	0	0	0	4
2340	6	 253	38	12	0	1	2	0	1	7
2050	5	 206	31	12	1	1	0	0	1	7
0	1	 192	34	12	1	0	0	0	1	7
0	1	 440	41	12	0	0	0	0	1	5
1960	5	 410	31	12	0	0	0	0	0	5
0	1	 601	56	14	0	0	0	0	0	5
1152	3	 526	27	16	0	0	0	0	1	4
576	2	 600	33	17	1	0	0	0	1	5
0	1	 890	37	14	1	3	0	0	1	7
1428	4	 600	34	16	2	0	0	0	1	6
1701	4	 320	39	12	0	2	1	0	1	2
30	2	 451	39	12	0	2	0	0	1	3
735	2	 618	53	12	0	0	0	0	1	5
1080	3	 110	32	14	0	2	0	0	0	5
390	2	 170	25	12	0	1	0	0	0	5
870	3	 247	31	16	2	0	0	0	1	7
1740	4	 242	37	16	0	2	0	0	1	7
1638	4	 289	27	16	0	0	0	0	0	10
1062	3	 113	35	17	1	1	0	0	1	5
416	2	 135	59	12	0	0	0	0	1	5
1734	4	 220	28	12	1	0	0	0	1	5
0	1	 262	25	12	1	0	0	0	1	5
0	1	 606	49	8	0	0	0	0	1	5
0	1	 45	29	7	1	3	0	0	0	5
60	2	 46	22	8	2	0	0	0	0	5
2000	5	 88	56	9	0	0	0	0	1	5
1656	4	 254	35	12	0	3	1	0	1	4
0	1	 49	29	12	2	0	0	0	0	5
2132	5	 238	31	12	0	3	0	0	1	5
2070	5	 164	36	8	0	2	3	1	1	10
2180	5	 253	20	10	1	0	0	1	0	7
1168	3	 49	25	12	2	1	0	1	0	10
0	1	 354	48	11	0	0	0	0	1	10
0	1	 1151	27	14	1	0	0	0	1	8
740	2	 230	21	13	0	0	0	0	0	11
0	1	 335	46	14	0	0	0	0	1	6
2076	5	 217	31	12	0	0	0	0	1	6
0	1	 369	55	10	0	0	0	0	1	11
600	2	 415	38	16	0	2	0	0	1	5
2000	5	 110	26	12	0	0	0	0	0	11
0	1	 486	58	12	0	0	0	0	1	11
0	1	 530	34	14	1	1	0	0	1	11
1944	5	 5	34	12	1	0	0	0	0	2
2020	5	 246	31	15	2	0	0	0	1	2
992	3	 861	39	15	0	1	2	0	1	2
2080	5	 412	40	16	0	1	1	0	1	2
1724	4	 198	31	12	0	0	1	0	1	2
0	1	 111	62	11	0	0	0	0	1	2
1960	5	 157	26	12	2	0	0	0	1	2
1480	4	 213	29	12	2	0	0	0	1	2
0	1	 180	28	12	1	1	0	0	1	2
1000	3	 440	47	8	0	0	0	0	1	2
357	2	 294	54	16	0	0	1	0	1	2
0	1	 290	57	11	0	0	0	0	1	6
1960	5	 284	27	13	0	0	0	0	1	6
2000	5	 590	33	12	0	0	0	0	1	8
344	2	 383	35	12	0	2	0	0	1	8
1372	4	 485	36	12	0	0	1	0	1	6
0	1	 750	38	16	0	1	1	0	1	8
1575	4	 453	62	12	0	0	0	0	1	5
1829	5	 176	36	16	0	0	0	0	0	4
940	3	 277	59	12	0	0	0	0	0	4
1801	5	 635	55	12	0	0	0	0	1	5
36	2	 94	33	11	0	0	1	1	0	6
0	1	 45	55	9	0	0	0	0	1	5
860	3	 311	25	12	0	1	0	0	0	6
2405	6	 280	44	17	0	0	0	0	1	5
2061	5	 330	23	16	0	0	0	0	0	6
1095	3	 370	29	14	0	0	0	0	0	4
0	1	 363	27	12	2	0	0	0	0	5
1608	4	 109	56	12	0	0	0	0	1	2
312	2	 302	37	16	1	1	0	0	1	7
1992	5	 280	36	15	0	2	1	1	1	6
2496	6	 490	31	12	1	1	0	1	1	3
0	1	 394	47	14	0	0	0	1	1	5
0	1	 780	42	16	0	3	0	0	1	4
1280	4	 127	30	16	1	1	0	0	1	6
2000	5	 285	37	12	1	1	2	0	1	5
0	1	 544	51	12	0	0	0	0	1	6
2160	5	 346	24	16	0	0	0	0	1	6
2142	5	 327	27	16	0	0	0	0	1	5
0	1	 393	59	12	0	0	0	0	1	4
1760	5	 284	29	12	1	0	0	0	1	7
0	1	 214	61	12	0	0	0	0	1	7
1410	4	 289	57	16	0	0	0	0	1	5
2315	6	 464	28	16	0	0	0	0	1	5
1984	5	 204	30	14	0	0	1	0	1	6
1845	5	 189	28	13	0	0	0	0	1	6
1428	4	 187	25	12	0	0	0	0	0	6
1075	3	 441	46	13	0	0	1	0	1	6
1214	3	 315	25	12	2	0	0	0	1	10
1480	4	 285	37	13	0	0	2	0	1	8
1840	5	 50	51	12	0	0	0	0	1	3
1936	5	 382	39	13	0	0	1	0	1	3
1453	4	 240	40	16	0	2	0	0	0	2
1435	4	 123	38	17	1	1	0	0	1	3
2000	5	 236	64	12	0	0	0	0	1	2
1813	5	 272	28	16	1	0	0	0	1	2
1857	5	 300	37	17	0	0	0	0	1	2
0	1	 200	34	14	1	0	0	0	1	3
0	1	 1116	38	17	1	1	0	0	1	5
0	1	 334	32	17	1	1	0	0	1	3
2000	5	 300	31	14	1	1	0	0	1	5
0	1	 136	59	5	0	0	0	0	1	5
1850	5	 545	37	17	0	2	1	0	1	3
0	1	 380	37	17	0	2	0	0	0	3
1836	5	 58	24	16	0	0	0	0	0	6
2115	5	 769	46	17	0	0	1	0	1	3
1000	3	 815	29	15	1	0	0	0	1	4
151	2	 630	32	13	1	1	0	0	1	4
949	3	 1830	54	12	0	0	0	0	1	4
1141	3	 320	34	17	0	2	0	0	1	3
1468	4	 670	34	16	1	1	0	0	1	5
0	1	 401	27	13	1	0	0	0	1	6
1561	4	 485	42	12	0	0	1	0	1	7
2060	5	 165	21	12	2	0	0	0	1	7
1764	5	 97	59	12	0	0	0	0	1	7
2040	5	 65	63	8	0	0	0	0	1	7
1902	5	 351	25	16	2	0	0	0	1	3
1828	5	 150	23	12	2	0	0	0	1	8
1440	4	 560	55	17	0	0	0	0	1	8
0	1	 518	32	16	1	2	0	0	1	3
3000	6	 60	57	12	0	0	0	0	0	5
768	3	 590	45	14	0	0	1	0	1	2
0	1	 130	32	12	0	2	0	0	0	3
1816	5	 395	57	14	0	0	0	1	1	4
2080	5	 240	27	13	1	0	0	1	0	4
2120	5	 218	46	16	0	0	0	0	1	7
2073	5	 437	56	13	0	0	3	0	1	9
2562	6	 236	25	12	0	0	0	0	0	8
1853	5	 380	42	13	0	1	0	0	1	6
1825	5	 309	43	12	0	0	0	0	1	6
1080	3	 670	42	12	0	0	1	0	1	8
2016	5	 200	25	12	1	1	0	0	1	3
1115	3	 120	27	12	1	2	0	0	1	5
1696	4	 304	34	11	0	1	2	0	1	3
0	1	 300	30	12	2	1	0	0	1	3
2362	6	 190	27	10	0	3	0	0	1	3
704	2	 226	27	12	2	0	0	0	1	3
348	2	 2340	58	17	0	0	0	0	1	2
0	1	 251	58	17	0	0	0	0	1	6
0	1	 215	30	13	1	1	0	0	0	5
0	1	 127	61	10	0	0	0	0	1	5
1576	4	 369	46	11	0	0	0	0	1	4
2221	5	 184	25	12	0	0	0	0	1	4
432	2	 200	24	12	1	0	0	0	0	9
2205	5	 391	25	14	0	0	0	0	1	9
1733	4	 225	37	12	2	1	1	0	1	5
0	1	 298	31	14	1	1	0	0	0	5
2085	5	 430	56	17	0	0	0	0	1	6
1780	5	 261	36	16	0	2	0	0	1	6
0	1	 427	55	12	0	0	0	0	1	6
0	1	 752	34	15	0	2	0	0	1	3
0	1	 102	41	5	0	0	0	0	1	11
2281	6	 137	24	12	1	0	0	0	1	8
300	2	 800	45	13	0	1	0	0	1	2
160	2	 366	35	12	2	0	0	0	1	4
396	2	 131	32	12	1	2	0	0	0	4
478	2	 470	36	17	2	1	0	0	1	2
0	1	 912	40	17	0	1	0	0	1	3
0	1	 162	45	10	0	3	1	0	0	10
1512	4	 110	22	12	3	0	0	0	0	10
1560	4	 220	39	17	0	0	1	0	1	7
494	2	 2099	37	16	2	1	0	0	1	7
0	1	 267	34	9	0	1	1	0	1	7
5	2	 114	19	9	1	0	0	0	0	7
1594	4	 91	24	16	0	0	0	0	0	5
205	2	 660	57	16	0	0	0	0	1	7
1378	4	 230	30	12	1	0	0	0	1	7
1624	4	 290	35	17	2	1	0	0	1	6
1149	3	 270	22	11	1	0	0	0	0	7
0	1	 446	29	16	0	0	0	0	1	7
0	1	 307	24	11	2	0	0	0	0	7
1816	5	 720	32	13	1	0	0	0	1	7
2160	5	 46	29	16	0	0	0	0	1	7
0	1	 405	38	12	0	1	0	0	1	5
0	1	 564	63	12	0	0	0	0	1	5
1935	5	 308	49	12	0	0	0	0	1	5
425	2	 280	38	12	0	1	1	0	1	5
1717	4	 188	24	12	0	0	0	0	0	4
1400	4	 90	23	12	0	0	0	0	0	8
1715	4	 215	23	13	2	0	0	1	1	3
1048	3	 290	33	16	2	1	0	1	0	3
0	1	 420	52	11	0	0	2	1	0	3
1764	5	 230	24	13	0	1	0	1	0	3
0	1	 351	47	11	0	0	0	0	1	10
0	1	 71	24	12	1	0	0	0	0	10
0	1	 232	63	12	0	0	0	0	1	11
42	2	 500	36	13	0	1	0	0	1	11
0	1	 625	38	17	1	1	0	0	1	6
962	3	 280	38	12	0	1	0	0	1	6
1890	5	 300	26	16	0	0	0	0	0	3
1923	5	 412	28	12	1	0	0	0	1	6
1023	3	 609	54	16	0	0	0	0	1	3
2080	5	 309	26	14	0	0	0	0	1	6
1750	4	 255	38	14	1	0	1	0	1	6
0	1	 336	41	16	0	3	2	0	1	5
0	1	 172	56	15	0	0	0	0	1	4
0	1	 840	59	17	0	0	0	1	1	4
1388	4	 325	35	16	0	2	2	1	1	5
2310	6	 91	24	14	0	0	0	1	0	7
0	1	 207	60	12	0	0	0	0	1	5
725	2	 345	34	16	3	0	0	0	1	5
290	2	 221	31	12	2	1	0	0	1	5
1584	4	 326	42	15	0	0	0	1	1	6
1848	5	 122	27	12	1	0	0	0	0	8
0	1	 520	39	17	1	2	0	0	1	7
0	1	 355	58	11	0	0	0	0	1	7
0	1	 281	35	12	0	2	0	0	1	7
0	1	 277	37	11	0	0	2	0	1	7
1972	5	 101	27	12	1	0	0	0	1	4
1586	4	 69	61	12	0	0	0	0	1	4
1702	4	 122	27	12	2	0	0	0	1	4
2040	5	 135	24	12	0	0	0	0	0	8
0	1	 380	51	12	0	0	0	0	1	5
520	2	 220	33	13	1	2	0	0	1	2
1553	4	 200	44	12	0	0	0	0	1	2
0	1	 332	23	12	1	0	0	0	1	2
988	3	 203	43	14	0	0	0	0	0	7
1319	4	 124	21	12	1	0	0	0	0	9
854	3	 327	42	12	0	0	0	0	1	9
1660	4	 189	23	12	0	0	0	0	1	9
1840	5	 172	21	12	0	0	0	0	0	7
2480	6	 366	40	12	0	0	2	0	1	7
1470	4	 354	41	13	0	2	0	0	1	8
0	1	 255	39	10	0	0	1	0	1	8
2379	6	 586	46	16	0	0	1	0	1	6
1944	5	 462	30	12	0	0	0	0	1	6
0	1	 313	62	17	0	0	0	0	1	6
0	1	 616	38	17	1	1	0	0	1	7
552	2	 713	41	17	0	1	0	0	1	5
2250	5	 2700	36	17	0	0	0	0	1	6
1388	4	 584	41	12	0	1	0	0	1	9
0	1	 836	49	16	0	0	0	0	1	4
2560	6	 292	25	16	1	0	0	0	0	5
2420	6	 455	36	16	2	0	0	0	1	5
1242	3	 368	30	16	2	0	0	0	1	4
1528	4	 800	41	17	1	0	0	0	1	2
2480	6	 0	26	16	0	0	0	0	0	5
2080	5	 210	33	12	0	0	0	0	0	5
1960	5	 142	35	16	2	0	0	0	1	4
2400	6	 458	39	12	0	0	1	0	1	4
2000	5	 260	48	13	0	0	0	0	0	3
2074	5	 249	33	16	0	2	0	0	1	4
1175	3	 308	54	11	0	0	0	0	1	5
1996	5	 335	34	16	0	0	0	0	1	3
1953	5	 96	48	14	0	0	0	0	1	3
1992	5	 456	49	12	0	0	0	0	1	3
0	1	 604	34	14	2	0	0	0	1	7
0	1	 334	32	12	2	2	0	0	1	7
0	1	 360	32	12	2	1	0	0	1	7
0	1	 897	55	13	0	0	1	0	1	7
2160	5	 668	28	15	0	0	0	0	1	6
2214	5	 218	51	14	0	0	0	0	1	6
1968	5	 284	24	13	2	0	0	0	0	9
2000	5	 312	28	16	1	0	0	0	1	3
2000	5	 260	26	14	1	0	0	0	1	5
2805	6	 223	27	12	0	0	0	0	1	5
1750	4	 456	27	14	1	0	0	0	1	3
0	1	 500	47	12	0	1	0	0	1	3
1292	4	 677	50	17	0	0	0	0	1	3
0	1	 104	38	11	1	0	1	0	0	3
384	2	 1456	52	12	0	0	0	0	1	6
1440	4	 346	38	16	0	1	2	0	1	9
1744	4	 253	29	16	1	0	0	0	1	4
0	1	 248	63	10	0	0	0	0	1	5
1245	3	 427	38	12	0	0	2	0	1	5
990	3	 224	35	12	0	1	0	0	1	5
780	3	 150	33	12	1	2	1	0	1	5
1826	5	 285	58	12	0	0	0	0	1	5
2080	5	 50	47	11	0	0	0	1	1	5
2000	5	 144	25	12	1	0	0	1	1	5
2000	5	 170	30	12	1	1	0	1	1	5
0	1	 395	58	10	0	0	0	1	1	5
192	2	 211	35	12	0	2	0	1	0	6
1992	5	 70	31	12	1	1	0	1	1	5
1192	3	 500	25	11	0	1	0	1	0	5
2000	5	 327	46	11	0	0	1	1	1	5
1944	5	 337	38	16	2	1	1	0	1	6
2464	6	 328	31	17	1	1	0	0	1	6
96	2	 405	32	16	1	1	0	0	1	5
1480	4	 350	56	12	0	0	0	0	1	6
0	1	 703	37	16	0	2	0	0	1	4
792	3	 436	47	12	0	1	2	0	1	5
0	1	 988	56	12	0	0	0	0	1	5
1316	4	 283	28	17	0	0	0	0	1	6
0	1	 376	34	13	2	0	0	0	1	5
432	2	 433	32	12	2	0	0	0	1	5
1715	4	 1138	51	12	0	0	0	0	1	3
0	1	 84	63	12	0	0	0	0	0	5
1680	4	 364	29	16	0	0	0	0	1	5
1176	3	 643	54	12	0	0	0	0	1	3
2000	5	 262	64	12	0	0	0	0	1	10
0	1	 740	39	12	0	2	0	0	1	2
2461	6	 130	31	12	0	1	0	0	1	10
2000	5	 301	53	12	0	0	0	0	1	10
1999	5	 200	25	12	0	0	0	0	0	10
2012	5	 264	23	14	0	0	0	0	1	6
1710	4	 303	29	13	1	0	0	0	1	6
1960	5	 612	55	13	1	0	0	0	1	6
1954	5	 310	32	15	1	1	0	0	1	6
1335	4	 393	35	12	1	3	0	0	1	6
1984	5	 695	43	17	0	0	0	0	1	11
1950	5	 356	41	12	0	0	1	0	1	4
750	2	 329	23	16	1	0	0	0	1	4
0	1	 1231	39	12	2	0	2	0	1	7
1900	5	 251	31	14	0	0	0	0	1	5
0	1	 680	61	15	0	0	0	0	1	7
0	1	 410	26	12	2	0	0	0	1	3
1100	3	 584	46	11	0	0	0	0	1	3
0	1	 7220	56	16	0	0	0	0	1	2
2101	5	 510	35	17	0	0	0	0	1	2
0	1	 539	25	16	1	0	0	0	1	2
2750	6	 238	28	16	0	0	0	0	0	7
1638	4	 623	35	16	1	1	0	0	1	6
0	1	 390	60	12	0	0	0	0	1	8
1920	5	 365	35	12	0	1	0	0	1	8
1216	3	 190	62	12	0	0	0	0	1	8
2295	6	 260	37	10	0	1	0	0	1	4
1984	5	 253	36	12	0	1	2	0	1	7
2250	5	 191	26	15	0	0	0	0	0	5
1600	4	 749	43	17	0	0	1	0	1	5
1567	4	 221	40	10	1	0	0	0	0	8
0	1	 690	36	12	0	1	2	0	1	5
1512	4	 138	28	16	1	0	0	0	1	4
0	1	 150	48	6	0	0	0	0	1	4
1248	3	 253	39	12	0	4	0	0	1	4
520	2	 635	40	12	0	0	1	0	1	1
0	1	 650	59	12	0	0	0	0	1	5
1977	5	 407	34	17	0	0	0	0	1	3
1080	3	 395	23	15	0	0	0	0	1	9
0	1	 531	31	16	1	1	0	0	1	2
2500	6	 288	25	17	0	0	0	0	1	3
274	2	 630	33	17	2	0	0	0	1	3
1191	3	 280	28	14	2	0	0	0	1	3
0	1	 1192	64	14	0	0	0	0	1	3
0	1	 400	44	14	0	0	0	0	1	4
1720	4	 250	34	15	1	1	0	0	1	4
0	1	 570	59	9	0	0	0	0	1	9
0	1	 35	47	10	0	0	0	1	0	9
120	2	 250	63	10	0	0	0	1	1	9
0	1	 250	54	10	0	0	0	1	1	7
2986	6	 35	29	16	0	0	0	0	0	12
0	1	 130	25	11	1	1	0	0	0	6
0	1	 382	54	12	0	0	0	0	1	6
2429	6	 250	31	12	0	1	0	0	1	4
0	1	 360	31	13	1	1	0	0	1	6
1804	5	 157	23	12	2	0	0	0	1	2
1462	4	 59	21	12	0	0	0	0	1	2
1830	5	 337	36	13	0	0	2	0	1	4
689	2	 242	40	10	0	2	0	0	1	4
2352	6	 100	22	12	1	0	0	0	0	6
2040	5	 150	29	11	1	1	0	0	1	5
922	3	 121	20	11	2	0	0	0	0	11
0	1	 149	42	9	1	1	1	0	1	11
2227	5	 152	31	13	1	1	0	0	1	7
0	1	 287	33	10	0	1	1	0	0	8
0	1	 102	57	8	0	0	1	0	1	4
0	1	 275	31	14	3	0	0	0	0	4
0	1	 298	34	10	0	2	1	0	0	4
2000	5	 209	25	12	0	0	0	0	1	5
1848	5	 193	25	9	0	0	0	0	0	4
1560	4	 200	26	12	2	0	0	0	1	4
0	1	 55	31	6	0	2	0	0	0	4
113	2	 287	29	12	1	2	0	0	1	9
2352	6	 140	27	12	1	1	0	0	1	4
50	2	 189	52	11	0	0	0	0	1	4
704	2	 441	31	12	0	2	0	0	1	4
2092	5 	 193	28	12	1	1	0	0	0	4
2134	5	 154	33	11	1	2	1	0	0	3
2050	5	 341	35	14	0	0	1	0	1	5
2130	5 	 162	23	12	1	0	0	0	0	4
0	1	 388	38	16	0	0	1	0	1	8
1568	4	 333	37	10	0	0	1	0	1	11
1166	3	 76	21	12	1	0	0	0	0	11
0	1	 115	22	12	1	0	0	0	0	5
2080	5	 160	29	12	0	1	0	0	1	5
2166	5	 180	29	13	0	1	0	0	1	7
761	3	 292	29	12	0	3	0	0	1	7
1828	5	 154	35	10	1	2	1	1	0	4
1883	5	 273	43	9	0	0	0	0	0	4
0	1	 342	25	12	2	0	0	0	1	3
95	2	 370	36	16	1	3	0	0	0	3
0	1	 200	32	16	0	0	0	0	0	5
0	1	 434	64	15	0	0	0	0	1	4
925	3	 537	30	16	0	0	0	0	1	5
0	1	 245	26	12	2	1	0	0	0	9
1008	3	 140	24	12	2	0	0	0	1	9
1344	4	 558	42	9	0	0	0	0	1	9
240	2	 355	40	17	0	2	0	0	1	3
258	2	 240	32	12	2	1	0	0	1	8
0	1	 781	45	16	0	0	0	0	1	6
2484	6	 115	43	17	0	2	0	0	1	8
1771	5	 581	42	12	0	0	2	0	1	3
0	1	 70	48	12	0	0	0	0	1	6
2065	5	 41	23	13	0	0	0	0	0	5
330	2	 343	57	12	0	0	0	0	0	2
2072	5	 163	33	10	0	2	2	0	1	4
0	1	 84	27	11	1	1	0	0	0	6
0	1	 130	31	13	0	2	0	0	0	6
184	2	 430	24	13	0	0	0	0	0	9
1480	4 	 266	26	16	2	0	0	0	1	7
0	1	 432	48	10	0	0	0	0	1	9
0	1	 310	50	11	0	0	0	0	1	11
0	1	 311	26	12	0	2	0	0	1	4
2000	5	 160	31	9	1	1	0	0	0	5
2035	5	 80	57	9	0	0	1	0	1	5
424	2	 485	39	13	0	3	0	0	1	5
1947	5	 144	34	12	0	2	0	0	1	5
1905	5	 119	58	9	0	0	0	0	1	5
0	1	 580	37	11	0	1	0	0	1	11
0	1	 106	54	12	0	0	0	0	1	11
960	3	 380	33	13	2	0	0	0	1	11
1632	4	 293	45	12	0	0	1	0	1	6
190	2	 592	45	14	0	0	0	0	1	6
94	2	 214	23	14	1	0	0	0	0	4
570	2	 815	44	16	2	1	1	0	1	5
1960	5	 345	33	12	0	1	0	0	1	6
1875	5	 185	54	12	0	0	0	0	0	6
2224	5	 155	26	11	0	0	0	0	0	6
0	1	 135	54	12	0	0	0	1	1	4
1896	5	 319	41	17	0	0	1	0	1	6
175	2	 299	40	15	0	0	0	0	1	4
2000	5	 66	40	12	0	2	0	0	1	3
1755	5	 310	41	17	1	0	0	0	1	3
0	1	 3136	36	16	1	2	0	0	1	5
588	2	 1028	61	17	0	0	0	0	1	3
1250	3	 346	38	9	0	1	1	0	1	3
2040	5	 153	28	9	0	2	0	0	1	4
1040	3	 94	26	12	1	0	0	0	0	4
0	1	 122	26	12	3	1	0	0	1	4
2080	5	 215	26	8	1	1	0	0	1	4
0	1	 320	45	12	0	0	1	0	1	5
1512	4	 130	23	12	2	1	0	0	1	3
