Customer,M,F,R,DM
1213,88358,14,10,no
1214,132046,1,177,no
1215,65495,10,119,yes
1216,229985,18,35,no
1217,344955,12,9,no
1218,295117,8,112,no
1219,274071,11,56,no
1220,233777,5,103,no
1221,530581,17,27,yes
1222,436815,19,18,yes
1223,317794,27,45,no
1224,277173,2,210,no
1225,15712,11,26,no
1226,207707,3,66,no
1227,266708,9,60,no
1228,339171,27,24,yes
1229,296408,12,38,yes
1230,46166,4,107,no
1231,412968,2,106,no
1232,103134,9,88,no
1233,30912,15,41,no
1234,362643,13,40,yes
1235,333857,12,13,no
1236,70937,14,30,no
1237,102272,5,61,no
1238,418889,18,27,yes
1239,331660,30,39,no
1240,250128,2,8,no
1241,481543,17,43,no
1242,4658,4,145,no
1243,467443,13,21,yes
1244,342931,23,28,yes
1245,466241,29,60,no
1246,6482,14,56,no
1247,363020,26,15,yes
1248,256607,20,34,no
1249,522469,15,37,yes
1250,102668,14,37,yes
1251,251400,3,115,no
1252,288730,11,52,yes
1253,393518,1,170,no
1254,16604,2,133,no
1255,499999,1,139,no
1256,542115,35,28,yes
1257,236232,11,14,no
1258,141497,7,62,no
1259,434221,18,20,yes
1260,81074,2,61,no
1261,532002,5,145,no
1262,285818,16,1,yes
1263,521681,8,2,yes
1264,404607,21,3,yes
1265,401019,4,143,no
1266,300027,3,75,no
1267,75525,2,181,no
1268,26256,10,97,no
1269,24186,9,90,no
1270,70253,10,51,no
1271,523448,15,13,yes
1272,78457,14,51,yes
1273,258943,10,91,yes
1274,211271,7,64,no
1275,324812,30,12,yes
1276,220792,9,19,no
1277,178976,13,8,no
1278,128300,6,23,no
1279,384891,24,20,yes
1280,427971,9,7,yes
1281,90055,5,162,no
1282,143309,6,60,no
1283,418716,21,48,no
1284,317548,1,205,no
1285,16327,15,29,yes
1286,499042,11,55,no
1287,352614,21,23,no
1288,63363,3,200,no
1289,444951,16,37,no
1290,200218,18,7,yes
1291,112991,19,24,yes
1292,502552,37,22,yes
1293,189233,8,99,no
1294,452527,1,188,no
1295,358900,24,2,no
1296,329929,12,10,yes
1297,516430,25,21,no
1298,87092,10,46,no
1299,505689,35,10,yes
1300,285984,6,117,no
1301,366781,8,85,no
1302,259679,9,59,no
1303,112440,6,90,no
1304,529581,32,27,yes
1305,333431,28,36,yes
1306,42915,13,56,yes
1307,82361,5,82,no
1308,407076,30,4,no
1309,523866,31,28,yes
1310,258871,19,40,no
1311,505012,20,25,yes
1312,536886,4,83,yes
1313,199590,9,93,no
1314,152580,9,54,no
1315,369101,3,145,no
1316,261120,2,95,no
1317,60598,7,82,yes
1318,475728,10,117,no
1319,339357,17,11,yes
1320,131671,14,60,no
1321,400461,23,11,yes
1322,446066,9,81,yes
1323,22029,8,24,no
1324,242829,12,21,yes
1325,507147,40,29,yes
1326,245673,15,21,yes
1327,202863,11,23,no
1328,287778,6,42,no
1329,483373,22,14,yes
1330,481255,8,30,yes
1331,416802,8,19,no
1332,38866,5,102,no
1333,454573,13,21,yes
1334,51645,1,53,no
1335,440699,2,23,no
1336,169507,14,7,yes
1337,120705,5,14,no
1338,393740,12,41,no
1339,259101,16,13,yes
1340,284650,8,120,no
1341,291601,19,5,yes
1342,199988,15,30,yes
1343,244667,17,44,yes
1344,483865,6,24,no
1345,414040,25,60,no
1346,41304,8,58,no
1347,317555,25,21,yes
1348,522988,23,36,yes
1349,140752,11,23,no
1350,52381,14,27,no
1351,529474,29,18,yes
1352,548613,4,97,no
1353,31380,14,35,no
1354,471067,17,57,no
1355,281635,12,1,no
1356,443485,8,36,yes
1357,478013,17,50,no
1358,40252,4,137,no
1359,439856,26,37,yes
1360,424910,1,44,no
1361,463806,15,43,no
1362,494422,20,14,yes
1363,312115,8,99,no
1364,295777,17,1,yes
1365,503345,23,52,yes
1366,439437,16,13,yes
1367,219048,20,22,no
1368,268762,5,112,no
1369,29464,1,143,no
1370,510724,25,18,yes
1371,249848,5,111,yes
1372,326819,19,34,no
1373,263541,12,49,yes
1374,96437,6,17,no
1375,285466,18,6,yes
1376,481926,17,21,yes
1377,196030,19,15,yes
1378,201865,1,91,no
1379,545841,40,17,yes
1380,243249,8,73,no
1381,340854,17,37,yes
1382,522369,7,73,no
1383,421871,27,13,yes
1384,279296,14,8,yes
1385,254571,18,7,yes
1386,134311,17,44,no
1387,365399,24,7,yes
1388,538163,5,50,no
1389,289296,8,41,no
1390,540401,3,23,yes
1391,57678,17,36,no
1392,170570,16,8,no
1393,407190,1,14,no
1394,470826,15,39,yes
1395,215384,9,66,no
1396,498582,16,18,no
1397,341578,29,4,no
1398,150736,8,99,yes
1399,322320,20,4,yes
1400,337485,3,145,no
1401,26806,12,1,no
1402,329478,11,57,yes
1403,272839,2,206,no
1404,449242,14,52,no
1405,513974,12,17,yes
1406,383180,24,40,yes
1407,447582,4,118,no
1408,217218,9,72,no
1409,95101,13,55,no
1410,241810,14,42,yes
1411,375682,29,17,yes
1412,109121,13,35,no
1413,287594,18,16,no
1414,197315,6,98,no
1415,549370,1,75,no
1416,198106,18,56,yes
1417,66571,7,63,yes
1418,232732,3,220,no
1419,255548,8,45,no
1420,62783,17,16,yes
1421,389973,28,59,yes
1422,225033,4,49,no
1423,247774,16,32,no
1424,333902,25,15,yes
1425,307293,18,29,yes
1426,444188,25,37,yes
1427,182874,8,19,no
1428,305710,1,86,no
1429,92140,4,157,no
1430,525130,23,28,yes
1431,124981,2,83,no
1432,41636,15,45,no
1433,231077,10,41,yes
1434,51606,8,53,no
1435,496141,28,26,yes
1436,247882,10,24,no
1437,147610,18,8,yes
1438,177854,15,27,no
1439,279333,14,46,no
1440,105276,19,30,yes
1441,128780,18,49,no
1442,164601,4,44,no
1443,268726,13,31,yes
1444,186964,2,74,no
1445,535080,22,11,yes
1446,238504,10,48,yes
1447,135787,9,33,no
1448,319824,13,28,yes
1449,487749,9,33,yes
1450,151608,15,46,yes
1451,219453,6,101,no
1452,1452,3,112,no
1453,351441,4,158,no
1454,481230,16,16,no
1455,384176,13,15,no
1456,332752,3,98,no
1457,543970,14,43,yes
1458,46992,14,1,yes
1459,418900,22,30,yes
1460,504388,33,20,yes
1461,227165,20,35,no
1462,424101,14,51,no
1463,289279,20,32,yes
1464,423134,22,17,yes
1465,480764,12,29,yes
1466,264799,2,53,no
1467,455615,26,26,no
1468,191074,1,148,no
1469,378734,14,6,no
1470,343616,16,44,yes
1471,144960,1,2,no
1472,521265,11,19,no
1473,38056,8,119,yes
1474,249130,18,11,yes
1475,2986,8,35,no
1476,83795,13,4,yes
1477,4962,10,58,no
1478,274459,2,169,no
1479,191779,10,95,no
1480,446135,22,37,yes
1481,354642,10,34,yes
1482,231430,2,156,no
1483,462674,5,151,no
1484,246095,7,50,yes
1485,528691,5,8,no
1486,150148,10,76,no
1487,89170,3,108,no
1488,50712,13,33,no
1489,271738,9,113,no
1490,436478,16,2,yes
1491,196720,9,36,no
1492,523658,22,14,yes
1493,519746,18,43,yes
1494,250337,18,29,no
1495,205652,4,14,no
1496,265466,17,58,no
1497,126579,18,57,no
1498,394124,22,24,yes
1499,268917,8,96,no
1500,269593,13,47,yes
1501,283563,11,33,yes
1502,382848,1,185,no
1503,302006,29,15,yes
1504,310921,24,57,no
1505,471168,17,47,no
1506,177703,14,56,no
1507,175196,8,117,yes
1508,460498,26,36,yes
1509,294197,2,112,no
1510,164334,5,180,no
1511,515624,12,13,yes
1512,178605,8,105,yes
1513,528858,21,9,yes
1514,502962,33,1,yes
1515,499203,9,15,yes
1516,362110,15,44,yes
1517,301996,20,32,no
1518,37178,5,88,no
1519,173328,5,139,no
1520,103214,6,32,no
1521,127543,6,27,no
1522,66181,14,11,yes
1523,174880,2,48,no
1524,336897,2,86,no
1525,174815,4,166,no
1526,32865,1,19,no
1527,216001,12,5,no
1528,188085,20,18,yes
1529,415098,1,28,no
1530,235269,17,4,yes
1531,226275,20,28,no
1532,112273,9,34,no
1533,366722,15,57,no
1534,277045,13,37,no
1535,547741,19,35,yes
1536,329084,25,58,yes
1537,491630,15,37,no
1538,482328,30,23,no
1539,96316,10,81,yes
1540,242020,20,47,yes
1541,230329,16,53,no
1542,242161,6,113,no
1543,859,6,70,no
1544,428057,4,41,yes
1545,448255,7,31,yes
1546,31131,7,49,no
1547,469277,5,87,no
1548,44399,11,3,no
1549,441140,8,13,no
1550,107570,19,32,no
1551,144719,4,163,no
1552,185188,11,14,no
1553,343211,18,34,yes
1554,68311,18,31,no
1555,439229,10,25,no
1556,123315,12,58,no
1557,212229,2,148,no
1558,75403,15,45,no
1559,233520,20,52,no
1560,285387,15,28,yes
1561,238646,8,111,no
1562,157823,16,57,no
1563,160748,7,78,yes
1564,238299,18,11,no
1565,511848,29,31,yes
1566,240323,6,30,no
1567,190486,14,57,yes
1568,75157,7,119,no
1569,82777,16,21,no
1570,320871,18,23,yes
1571,474701,20,32,yes
1572,11298,7,45,yes
1573,364713,14,15,yes
1574,54441,3,99,no
1575,464205,30,44,yes
1576,43289,3,50,no
1577,127920,13,57,no
1578,8743,11,36,yes
1579,208171,5,102,no
1580,200487,15,22,no
1581,378827,6,30,no
1582,12231,11,21,no
1583,223256,14,21,no
1584,75071,1,47,no
1585,222294,2,185,no
1586,6522,9,32,no
1587,294786,9,34,no
1588,333839,9,68,no
1589,278747,2,68,no
1590,365108,7,26,no
1591,351341,20,29,no
1592,459670,15,43,yes
1593,415114,21,6,yes
1594,271997,20,33,yes
1595,405094,16,52,no
1596,275095,13,37,no
1597,540522,29,58,yes
1598,431106,30,21,yes
1599,103195,7,79,no
1600,446457,20,20,no
1601,45828,3,109,no
1602,119872,19,51,no
1603,402849,4,85,no
1604,134203,1,3,no
1605,405636,27,48,no
1606,137447,16,16,no
1607,412925,25,60,no
1608,202203,14,16,no
1609,54006,9,11,no
1610,33089,1,216,no
1611,197905,8,55,yes
1612,339931,29,29,yes
1613,391196,8,94,no
1614,22280,7,77,no
1615,504489,4,175,no
1616,312778,30,35,no
1617,195053,3,111,no
1618,261586,4,32,no
1619,249754,18,7,yes
1620,17372,8,41,no
1621,38633,5,101,no
1622,20332,3,183,no
1623,41614,4,159,no
1624,182906,19,3,yes
1625,501366,4,3,yes
1626,483620,3,211,no
1627,61450,11,32,no
1628,448215,12,38,no
1629,474298,29,56,yes
1630,126617,3,93,no
1631,8862,11,22,no
1632,321194,27,53,yes
1633,80677,13,60,no
1634,174314,11,44,no
1635,20483,11,37,no
1636,505848,12,25,no
1637,3372,3,10,no
1638,517360,31,20,yes
1639,183287,16,49,yes
1640,326232,17,30,yes
1641,204857,6,101,no
1642,380273,26,51,yes
1643,70613,11,11,no
1644,327449,21,5,yes
1645,385500,16,1,yes
1646,334605,29,17,yes
1647,105177,1,186,no
1648,479196,10,113,no
1649,372588,30,18,yes
1650,224185,14,30,yes
1651,163360,2,198,no
1652,108231,8,4,no
1653,168746,15,53,yes
1654,39683,5,56,no
1655,219840,15,12,no
1656,137162,7,20,no
1657,109446,3,179,no
1658,5657,6,115,no
1659,273953,15,26,no
1660,436557,22,41,yes
1661,456371,29,56,no
1662,546299,38,21,yes
1663,33129,14,20,no
1664,252429,10,29,no
1665,212543,3,192,no
1666,148727,1,103,no
1667,231666,5,4,no
1668,5637,1,98,no
1669,462302,14,21,yes
1670,309679,5,160,yes
1671,315235,22,56,no
1672,356868,10,111,no
1673,525770,5,22,yes
1674,159492,12,2,yes
1675,18931,5,155,no
1676,99664,4,7,no
1677,125731,12,43,no
1678,32105,1,55,no
1679,155036,19,32,no
1680,516873,14,8,yes
1681,475682,22,2,yes
1682,51318,18,33,no
1683,393599,1,94,no
1684,394495,17,31,yes
1685,166648,7,117,yes
1686,366468,23,39,yes
1687,497388,30,33,yes
1688,440681,21,37,yes
1689,111826,11,18,no
1690,356790,23,31,yes
1691,161354,10,51,yes
1692,28959,15,48,yes
1693,524108,27,56,yes
1694,155453,19,53,no
1695,425284,9,3,yes
1696,340754,15,41,yes
1697,64951,8,96,no
1698,477312,10,79,yes
1699,549580,35,9,yes
1700,445640,15,47,no
1701,484219,24,18,yes
1702,117844,7,76,no
1703,486710,5,170,no
1704,466995,16,24,no
1705,382506,6,38,no
1706,495287,9,59,no
1707,488949,10,8,no
1708,454430,19,17,yes
1709,257370,7,59,no
1710,268735,17,17,no
1711,323115,20,8,yes
1712,468516,3,85,no
1713,492370,19,15,yes
1714,17941,1,183,no
1715,499075,16,13,yes
1716,49905,6,76,no
1717,400704,6,117,no
1718,345394,22,52,yes
1719,394864,18,26,yes
1720,331235,25,59,yes
1721,21199,8,27,no
1722,396182,2,125,no
1723,103682,17,1,yes
1724,461739,19,20,no
1725,129664,12,20,yes
1726,389458,2,161,no
1727,103653,6,75,no
1728,540078,27,32,no
1729,316982,3,2,yes
1730,112857,14,17,no
1731,523612,21,48,no
1732,184469,12,23,no
1733,250788,18,47,no
1734,57056,2,138,no
1735,101429,15,43,no
1736,542596,37,3,no
1737,526904,6,104,no
1738,527597,30,26,yes
1739,23913,2,180,no
1740,440068,21,40,yes
1741,138241,9,114,no
1742,494726,2,124,yes
1743,503463,40,11,yes
1744,431002,8,32,no
1745,180179,18,19,no
1746,180024,5,25,no
1747,496717,27,48,yes
1748,136893,9,94,no
1749,288373,17,57,yes
1750,440116,12,51,yes
1751,114057,18,39,no
1752,488397,16,14,yes
1753,100257,16,48,yes
1754,46795,10,100,no
1755,48147,15,9,yes
1756,177975,8,7,yes
1757,179112,4,132,no
1758,475868,25,48,yes
1759,324234,15,49,yes
1760,376170,9,32,no
1761,174919,15,34,no
1762,115244,9,56,no
1763,231190,11,43,no
1764,3549,8,70,no
1765,81662,16,44,no
1766,485143,7,16,no
1767,92422,9,120,no
1768,516107,28,28,yes
1769,499097,3,218,no
1770,510879,39,1,yes
1771,440837,12,27,yes
1772,52618,1,85,no
1773,314732,5,13,no
1774,19149,13,43,no
1775,224402,18,11,yes
1776,168788,13,24,no
1777,164046,10,98,no
1778,528801,23,33,yes
1779,182710,19,44,no
1780,404248,20,16,yes
1781,471169,5,48,no
1782,462719,20,33,no
1783,176068,18,7,yes
1784,131251,14,5,yes
1785,500520,33,28,yes
1786,247690,17,54,no
1787,172353,5,62,no
1788,266586,13,27,no
1789,267924,20,55,yes
1790,166575,3,165,no
1791,95179,2,185,no
1792,180117,1,107,no
1793,46458,14,46,no
1794,2098,2,131,no
1795,11542,14,58,no
1796,159891,6,10,yes
1797,361444,11,38,no
1798,430631,26,55,yes
1799,67865,2,141,no
1800,280656,1,197,no
1801,329467,28,42,yes
1802,173587,9,14,no
1803,301494,23,59,no
1804,206802,16,29,yes
1805,16941,10,11,no
1806,244938,4,172,no
1807,530664,38,7,yes
1808,511075,20,43,yes
1809,183949,15,13,yes
1810,349923,30,5,yes
1811,74414,9,12,no
1812,349703,4,12,yes
1813,342671,22,36,no
1814,360569,3,181,no
1815,44026,2,37,no
1816,262262,9,15,no
1817,404183,6,114,no
1818,186728,12,45,no
1819,134706,1,176,no
1820,245474,6,101,no
1821,319098,7,23,no
1822,418500,13,58,no
1823,193916,20,45,no
1824,382460,26,37,no
1825,410798,6,64,yes
1826,89960,11,7,no
1827,37436,7,56,no
1828,106603,8,119,no
1829,116752,12,25,no
1830,359649,27,47,yes
1831,539511,27,29,yes
1832,343382,26,9,yes
1833,92198,18,10,no
1834,241693,2,19,no
1835,463715,1,165,no
1836,310440,15,43,yes
1837,443703,30,38,yes
1838,343435,27,6,no
1839,526196,36,20,no
1840,245067,14,45,no
1841,278958,2,2,yes
1842,326496,3,82,yes
1843,121662,14,56,no
1844,239949,12,8,yes
1845,529230,16,28,no
1846,264916,5,49,no
1847,186495,11,1,yes
1848,140763,20,16,yes
1849,467527,3,30,no
1850,349663,9,1,no
1851,49487,8,6,no
1852,132775,2,25,no
1853,135510,7,61,no
1854,435702,19,44,no
1855,42925,3,222,no
1856,510449,18,17,yes
1857,184987,10,64,no
1858,142383,20,58,no
1859,106124,2,46,no
1860,404385,20,4,yes
1861,12243,4,14,no
1862,201860,12,47,no
1863,19851,13,20,no
1864,33060,13,39,no
1865,3188,3,195,no
1866,56155,16,1,no
1867,90938,18,27,yes
1868,149611,2,96,no
1869,242099,17,27,yes
1870,526336,29,2,yes
1871,146554,4,150,no
1872,457488,10,35,yes
1873,177519,17,23,no
1874,124191,19,41,no
1875,67167,17,28,no
1876,106545,4,171,no
1877,289874,10,1,yes
1878,530073,22,25,yes
1879,386412,1,69,no
1880,138871,12,49,yes
1881,179204,7,112,no
1882,362158,2,165,no
1883,389551,16,1,yes
1884,365451,14,41,no
1885,389871,24,45,no
1886,411311,17,14,no
1887,233171,13,45,no
1888,549795,27,29,yes
1889,152305,2,118,no
1890,359350,1,184,no
1891,304141,27,59,no
1892,432725,12,6,no
1893,411607,11,44,yes
1894,442685,29,42,yes
1895,331359,11,8,yes
1896,242571,1,200,no
1897,271825,19,60,yes
1898,303815,2,202,no
1899,484307,10,116,no
1900,225765,6,59,no
1901,467,1,198,no
1902,223499,15,30,no
1903,303260,4,108,no
1904,280699,4,98,no
1905,395508,28,49,yes
1906,323745,4,139,no
1907,530614,28,9,yes
1908,402669,4,18,no
1909,357059,2,57,no
1910,520035,2,127,no
1911,256975,15,31,no
1912,18656,10,30,no
1913,7329,15,14,no
1914,77720,14,12,no
1915,141499,10,44,no
1916,185041,13,52,no
1917,306441,25,55,no
1918,542762,39,17,yes
1919,24025,13,42,no
1920,1692,13,8,no
1921,278853,11,11,yes
1922,86618,4,74,yes
1923,288381,12,35,no
1924,389132,1,67,no
1925,355486,16,37,yes
1926,273059,8,46,no
1927,409497,10,11,no
1928,540528,19,1,yes
1929,156449,10,32,no
1930,110629,4,45,no
1931,512206,12,52,yes
1932,230593,13,13,yes
1933,39286,15,21,no
1934,64179,14,52,no
1935,371075,22,32,yes
1936,275168,11,44,yes
1937,168771,3,107,no
1938,137770,5,82,no
1939,293867,2,22,no
1940,407347,25,45,yes
1941,140493,12,49,no
1942,229721,11,23,yes
1943,240315,9,67,no
1944,45028,7,66,no
1945,54298,14,38,no
1946,172585,15,60,no
1947,442589,29,58,yes
1948,512482,18,56,yes
1949,58972,6,90,no
1950,425338,21,29,yes
1951,390864,22,27,no
1952,343688,16,9,no
1953,228661,2,168,no
1954,202694,18,13,yes
1955,399318,5,1,yes
1956,528393,1,169,no
1957,158440,8,27,no
1958,505698,11,27,no
1959,495936,30,57,yes
1960,181424,17,46,yes
1961,399892,24,22,yes
1962,235415,2,39,no
1963,150147,19,6,yes
1964,547994,5,49,no
1965,424575,15,52,no
1966,296869,9,15,no
1967,174047,15,44,no
1968,210082,11,22,yes
1969,390033,1,218,no
1970,133149,1,129,no
1971,112104,16,59,yes
1972,419096,9,48,no
1973,190353,9,42,no
1974,25562,8,100,no
1975,426087,13,3,yes
1976,304739,30,37,yes
1977,468794,27,14,no
1978,69187,2,224,no
1979,442926,7,88,yes
1980,456778,18,56,no
1981,440676,25,11,yes
1982,62885,14,23,no
1983,277120,4,31,no
1984,221665,13,36,no
1985,222010,17,4,no
1986,521716,2,146,no
1987,483479,18,23,no
1988,488968,30,28,no
1989,496815,13,16,no
1990,119963,3,48,no
1991,543706,27,8,no
1992,254383,20,8,yes
1993,231347,5,17,no
1994,178903,8,34,no
1995,304170,16,51,no
1996,177157,3,215,no
1997,346260,20,35,no
1998,325335,13,50,no
1999,119724,10,93,no
2000,349108,15,24,yes
